Time,pro,kon
1881,0x7d90938c9Fe235eF80AcCe10A7f06112d95b89f2,0xa239A1C05AD5Cb0D2fdC5D5381D0014C3ee297a9
1614692787.6195796,4.5680000000000005,0.0
1614692787.826052,0.252,0.0
1614692788.0318556,0.0,0.0
1614692788.318667,0.108,0.0
1614692788.522346,2.582,0.0
1614692788.725879,9.176,0.0
1614692788.929183,9.266,0.0
1614692789.135451,8.198,0.0
1614692789.3404822,9.376,0.0
1614692789.5455792,9.126,0.0
1614692789.7506068,9.290000000000001,0.0
1614692789.9559698,0.138,0.0
1614692790.1613517,5.678,0.0
1614692790.3664432,0.776,0.0
1614692790.571497,6.0,0.0
1614692790.7765675,8.762,0.0
1614692790.9821634,0.004,0.0
1614692791.1872401,4.2860000000000005,0.0
1614692791.392884,3.306,0.0
1614692791.598442,4.23,0.0
1614692791.8040707,0.0,0.0
1614692792.009961,0.004,0.0
1614692792.3329027,0.004,0.0
1614692792.5365317,3.876,0.0
1614692792.7402663,6.098,0.0
1614692792.9456267,0.848,0.0
1614692793.151026,0.892,0.0
1614692793.357358,1.802,0.0
1614692793.5625312,0.004,0.0
1614692793.7680874,8.706,0.0
1614692793.9739256,2.504,0.0
1614692794.178988,6.18,0.0
1614692794.3842099,0.918,0.0
1614692794.5900245,4.8,0.0
1614692794.7942283,1.084,0.0
1614692794.9991157,0.6,0.0
1614692795.203136,0.004,0.0
1614692795.407119,0.098,0.0
1614692795.6112912,3.884,0.0
1614692795.8157206,8.212,0.0
1614692796.020881,0.0,0.0
1614692796.3285253,5.82,0.0
1614692796.5326803,9.14,0.0
1614692796.7367086,8.28,0.0
1614692796.941077,7.772,0.0
1614692797.1454332,6.242,0.0
1614692797.3495557,4.008,0.0
1614692797.5547223,0.0,0.0
1614692797.7588644,0.0,0.0
1614692797.9625294,0.0,0.0
1614692798.1659997,0.0,0.0
1614692798.3698597,0.0,0.0
1614692798.5736246,0.0,0.0
1614692798.777319,0.0,0.0
1614692798.9840953,0.0,0.0
1614692799.1914506,0.0,0.0
1614692799.3951724,0.0,0.0
1614692799.598834,0.0,0.0
1614692799.8025632,0.0,0.0
1614692800.0081744,0.0,0.0
1614692800.3071277,0.0,0.0
1614692800.5107965,0.0,0.0
1614692800.714545,0.0,0.0
1614692800.9205625,0.0,0.0
1614692801.1255455,0.0,0.0
1614692801.3309274,0.0,0.0
1614692801.5363154,0.0,0.0
1614692801.742331,0.0,0.0
1614692801.947826,0.0,0.0
1614692802.1539123,0.0,0.0
1614692802.359251,0.0,0.0
1614692802.564229,0.0,0.0
1614692802.7701705,0.0,0.0
1614692802.9758086,0.0,0.0
1614692803.1817703,0.0,0.0
1614692803.3877351,0.0,0.0
1614692803.5937243,0.0,0.0
1614692803.7997096,0.0,0.0
1614692804.0065117,0.0,0.0
1614692804.2128851,0.0,0.0
1614692804.4165568,0.0,0.0
1614692804.6198657,0.0,0.0
1614692804.823731,0.0,0.0
1614692805.0305037,0.0,0.0
1614692805.235832,0.0,0.0
1614692805.4416606,0.0,0.0
1614692805.6467125,0.0,0.0
1614692805.85193,0.0,0.0
1614692806.0570383,0.0,0.0
1614692806.262424,0.0,0.0
1614692806.4675202,0.0,0.0
1614692806.672915,0.0,0.0
1614692806.8781552,0.0,0.0
1614692807.0832567,0.0,0.0
1614692807.2885606,0.0,0.0
1614692807.4946442,0.0,0.0
1614692807.700435,0.0,0.0
1614692807.9066792,0.0,0.0
1614692808.1129918,0.0,0.0
1614692808.3193357,0.0,0.0
1614692808.5230157,0.0,0.0
1614692808.726453,0.0,0.0
1614692808.9298077,0.0,0.0
1614692809.1363783,0.0,0.0
1614692809.3438876,0.0,0.0
1614692809.5475893,0.0,0.0
1614692809.7512877,0.0,0.0
1614692809.9550452,0.0,0.0
1614692810.1602528,0.0,0.0
1614692810.3658261,0.0,0.0
1614692810.5721245,0.0,0.0
1614692810.7774804,0.0,0.0
1614692810.9831061,0.0,0.0
1614692811.1885023,0.0,0.0
1614692811.3939242,0.0,0.0
1614692811.599871,0.0,0.0
1614692811.805294,0.0,0.0
1614692812.0106335,0.0,0.0
1614692812.2160928,0.0,0.0
1614692812.4216897,0.0,0.0
1614692812.627563,0.0,0.0
1614692812.832669,0.0,0.0
1614692813.0391114,0.0,0.0
1614692813.245601,0.0,0.0
1614692813.4516702,0.0,0.0
1614692813.658133,0.0,0.0
1614692813.8642979,0.0,0.0
1614692814.070262,0.0,0.0
1614692814.2770257,0.0,0.0
1614692814.4838161,0.0,0.0
1614692814.6895752,0.0,0.0
1614692814.8952048,0.0,0.0
1614692815.1009214,0.0,0.0
1614692815.3069713,0.0,0.0
1614692815.5123322,0.0,0.0
1614692815.7173781,0.0,0.0
1614692815.922514,0.0,0.0
1614692816.127099,0.0,0.0
1614692816.3320758,0.0,0.0
1614692816.5371556,0.0,0.0
1614692816.7428823,0.0,0.0
1614692816.9477692,0.0,0.0
1614692817.153211,0.0,0.0
1614692817.359189,0.0,0.0
1614692817.564637,0.0,0.0
1614692817.7706015,0.0,0.0
1614692817.9743013,0.0,0.0
1614692818.1779852,0.0,0.0
1614692818.3817492,0.0,0.0
1614692818.5886312,0.0,0.0
